 vbep            v(Vbep)         vbep            v(Vben)         yes             currtemp       
 3.61575664e-01  3.61575664e-01  3.61575664e-01  1.03752482e-01  1.00000000e+00  5.50000000e+01 
 3.59124459e-01  3.59124459e-01  3.59124459e-01  1.04160026e-01  1.00000000e+00  5.60000000e+01 
 3.56722999e-01  3.56722999e-01  3.56722999e-01  1.04504024e-01  1.00000000e+00  5.70000000e+01 
 3.54333186e-01  3.54333186e-01  3.54333186e-01  1.04843687e-01  1.00000000e+00  5.80000000e+01 
 3.51992933e-01  3.51992933e-01  3.51992933e-01  1.05282840e-01  1.00000000e+00  5.90000000e+01 
 3.49655494e-01  3.49655494e-01  3.49655494e-01  1.05709932e-01  1.00000000e+00  6.00000000e+01 
 3.47338547e-01  3.47338547e-01  3.47338547e-01  1.06169683e-01  1.00000000e+00  6.10000000e+01 
 3.45086892e-01  3.45086892e-01  3.45086892e-01  1.06684447e-01  1.00000000e+00  6.20000000e+01 
 3.42815103e-01  3.42815103e-01  3.42815103e-01  1.07220351e-01  1.00000000e+00  6.30000000e+01 
 3.40590692e-01  3.40590692e-01  3.40590692e-01  1.07858453e-01  1.00000000e+00  6.40000000e+01 
 3.38453731e-01  3.38453731e-01  3.38453731e-01  1.08444195e-01  1.00000000e+00  6.50000000e+01 
 3.36319429e-01  3.36319429e-01  3.36319429e-01  1.09151113e-01  1.00000000e+00  6.60000000e+01 
 3.34249207e-01  3.34249207e-01  3.34249207e-01  1.09826578e-01  1.00000000e+00  6.70000000e+01 
 3.32186330e-01  3.32186330e-01  3.32186330e-01  1.10507910e-01  1.00000000e+00  6.80000000e+01 
 3.30197423e-01  3.30197423e-01  3.30197423e-01  1.11278871e-01  1.00000000e+00  6.90000000e+01 
 3.28255048e-01  3.28255048e-01  3.28255048e-01  1.12159645e-01  1.00000000e+00  7.00000000e+01 
 3.26312272e-01  3.26312272e-01  3.26312272e-01  1.13076019e-01  1.00000000e+00  7.10000000e+01 
 3.24489778e-01  3.24489778e-01  3.24489778e-01  1.13939593e-01  1.00000000e+00  7.20000000e+01 
 3.22700154e-01  3.22700154e-01  3.22700154e-01  1.14896769e-01  1.00000000e+00  7.30000000e+01 
 3.20969104e-01  3.20969104e-01  3.20969104e-01  1.15878868e-01  1.00000000e+00  7.40000000e+01 
 3.19304041e-01  3.19304041e-01  3.19304041e-01  1.16832613e-01  1.00000000e+00  7.50000000e+01 
 3.17688151e-01  3.17688151e-01  3.17688151e-01  1.17884504e-01  1.00000000e+00  7.60000000e+01 
 3.16124587e-01  3.16124587e-01  3.16124587e-01  1.18881459e-01  1.00000000e+00  7.70000000e+01 
 3.14645357e-01  3.14645357e-01  3.14645357e-01  1.19875103e-01  1.00000000e+00  7.80000000e+01 
 3.13211025e-01  3.13211025e-01  3.13211025e-01  1.20940207e-01  1.00000000e+00  7.90000000e+01 
 3.11834730e-01  3.11834730e-01  3.11834730e-01  1.22006550e-01  1.00000000e+00  8.00000000e+01 
 3.10536270e-01  3.10536270e-01  3.10536270e-01  1.23025823e-01  1.00000000e+00  8.10000000e+01 
